Time,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Pred,
0,0.009454863,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.210246465,0.277930368,46.3956192
1,0.009446712,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.210186688,0.247627606,46.38388176
2,0.009460548,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.210288156,0.26761182,46.4038056
3,0.009446865,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.210187814,0.26770657,46.38410208
4,0.00994363,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.213830755,0.23359434,47.09944368
5,0.010894787,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.220805904,0.236834602,48.46910976
6,0.012838987,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.235063375,0.231949935,51.26875776
7,0.012103607,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.229670587,0.271717033,50.20981056
8,0.011780122,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.227298361,0.225530035,49.74399216
9,0.010317995,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.2165761,0.272166519,47.63852928
10,0.008401668,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.202523036,0.260892833,44.8790184
11,0.008387817,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.202421457,0.236883403,44.85907296
12,0.008387727,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.202420796,0.267533054,44.85894336
13,0.008360549,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.202221495,0.206915589,44.81980704
14,0.008333361,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.202022119,0.212683182,44.78065632
15,0.008373914,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.202319507,0.246414166,44.83905264
16,0.010991777,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.221517164,0.290628699,48.60877536
17,0.013801785,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.242123889,0.309470935,52.65518688
18,0.013788326,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.242025193,0.318576289,52.63580592
19,0.01283709,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.235049459,0.235356629,51.26602608
20,0.01282359,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.234950465,0.285580186,51.24658608
21,0.011872428,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.227975276,0.278405097,49.8769128
22,0.010893907,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.220799452,0.25807684,48.46784256
23,0.009942656,0,0.000391606,0,0.000427206,0.000356005,0,0,0,0.0215895,0.21382361,0.26521871,47.09804112
